,user_id,user_url,item_id,helpful,recommend,sentiment_analysis
0,76561198079601835,http://steamcommunity.com/profiles/76561198079601835,730,0 of 1 people (0%) found this review helpful,True,1
1,MeaTCompany,http://steamcommunity.com/id/MeaTCompany,730,No ratings yet,True,2
2,76561198089393905,http://steamcommunity.com/profiles/76561198089393905,72850,3 of 3 people (100%) found this review helpful,True,0
3,76561198089393905,http://steamcommunity.com/profiles/76561198089393905,440,3 of 3 people (100%) found this review helpful,True,1
4,76561198156664158,http://steamcommunity.com/profiles/76561198156664158,252950,0 of 1 people (0%) found this review helpful,True,2
5,76561198077246154,http://steamcommunity.com/profiles/76561198077246154,440,No ratings yet,True,1
6,76561198077246154,http://steamcommunity.com/profiles/76561198077246154,304930,No ratings yet,True,1
7,WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,4000,0 of 1 people (0%) found this review helpful,True,1
8,thequeenpanda,http://steamcommunity.com/id/thequeenpanda,42910,0 of 2 people (0%) found this review helpful,True,1
9,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,730,1 of 3 people (33%) found this review helpful,True,2
10,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,440,0 of 2 people (0%) found this review helpful,True,2
11,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,49520,0 of 2 people (0%) found this review helpful,True,1
12,devvonst,http://steamcommunity.com/id/devvonst,440,6 of 9 people (67%) found this review helpful,True,2
13,devvonst,http://steamcommunity.com/id/devvonst,218740,0 of 1 people (0%) found this review helpful,True,2
14,devvonst,http://steamcommunity.com/id/devvonst,550,No ratings yet,True,2
15,Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,220,No ratings yet,True,2
16,76561198058373434,http://steamcommunity.com/profiles/76561198058373434,8870,2 of 2 people (100%) found this review helpful,True,2
17,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,368230,3 of 5 people (60%) found this review helpful,True,0
18,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,4000,0 of 1 people (0%) found this review helpful,True,2
19,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,33930,No ratings yet,True,2
20,76561198066046412,http://steamcommunity.com/profiles/76561198066046412,359320,4 of 5 people (80%) found this review helpful,False,0
21,76561198066046412,http://steamcommunity.com/profiles/76561198066046412,219640,1 of 5 people (20%) found this review helpful,True,2
22,tru_mu_,http://steamcommunity.com/id/tru_mu_,287980,No ratings yet,True,2
23,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,218620,No ratings yet,True,1
24,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,208090,No ratings yet,True,2
25,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,242700,No ratings yet,True,1
26,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,570,No ratings yet,False,1
27,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,224260,No ratings yet,True,1
28,SavageEeEe,http://steamcommunity.com/id/SavageEeEe,221100,0 of 8 people (0%) found this review helpful,True,2
29,76561198076909484,http://steamcommunity.com/profiles/76561198076909484,570,No ratings yet,True,2
30,Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,323370,No ratings yet,True,2
31,GoAwayZach,http://steamcommunity.com/id/GoAwayZach,304930,No ratings yet,True,2
32,76561198061252210,http://steamcommunity.com/profiles/76561198061252210,730,0 of 1 people (0%) found this review helpful,True,2
33,OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,113200,No ratings yet,True,2
34,boydeer,http://steamcommunity.com/id/boydeer,440,4 of 4 people (100%) found this review helpful,True,1
35,boydeer,http://steamcommunity.com/id/boydeer,383080,4 of 7 people (57%) found this review helpful,False,1
36,VVillis,http://steamcommunity.com/id/VVillis,213670,No ratings yet,True,1
37,76561198170198366,http://steamcommunity.com/profiles/76561198170198366,271290,No ratings yet,True,2
38,diego9031,http://steamcommunity.com/id/diego9031,4000,0 of 1 people (0%) found this review helpful,True,1
39,diego9031,http://steamcommunity.com/id/diego9031,317360,0 of 1 people (0%) found this review helpful,True,1
40,diego9031,http://steamcommunity.com/id/diego9031,223710,No ratings yet,True,1
41,diego9031,http://steamcommunity.com/id/diego9031,299360,No ratings yet,True,1
42,diego9031,http://steamcommunity.com/id/diego9031,322330,No ratings yet,True,1
43,diego9031,http://steamcommunity.com/id/diego9031,1250,No ratings yet,True,1
44,diego9031,http://steamcommunity.com/id/diego9031,12100,No ratings yet,True,1
45,diego9031,http://steamcommunity.com/id/diego9031,204360,No ratings yet,True,2
46,diego9031,http://steamcommunity.com/id/diego9031,440,No ratings yet,True,1
47,diego9031,http://steamcommunity.com/id/diego9031,224260,No ratings yet,True,2
48,jarrodtrim,http://steamcommunity.com/id/jarrodtrim,440,No ratings yet,True,2
49,76561198067936203,http://steamcommunity.com/profiles/76561198067936203,440,1 of 1 people (100%) found this review helpful,True,2
50,76561198079770573,http://steamcommunity.com/profiles/76561198079770573,1840,3 of 6 people (50%) found this review helpful,True,1
51,76561198087586464,http://steamcommunity.com/profiles/76561198087586464,440,1 of 1 people (100%) found this review helpful,True,2
52,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,233250,0 of 11 people (0%) found this review helpful,True,1
53,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,449140,No ratings yet,True,1
54,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,368730,No ratings yet,True,1
55,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,246280,No ratings yet,True,1
56,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,427270,No ratings yet,True,2
57,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,397100,No ratings yet,True,1
58,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,248570,No ratings yet,True,1
59,Rivtex,http://steamcommunity.com/id/Rivtex,298630,0 of 1 people (0%) found this review helpful,True,1
60,sandwiches1,http://steamcommunity.com/id/sandwiches1,417860,No ratings yet,False,1
61,76561198138053270,http://steamcommunity.com/profiles/76561198138053270,218620,No ratings yet,True,2
62,Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,377160,1 of 5 people (20%) found this review helpful,True,2
63,Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,211820,No ratings yet,True,2
64,CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,252490,No ratings yet,True,0
65,76561198075895633,http://steamcommunity.com/profiles/76561198075895633,440,1 of 1 people (100%) found this review helpful,True,2
66,iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,344760,3 of 4 people (75%) found this review helpful,False,0
67,iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,252950,1 of 1 people (100%) found this review helpful,True,1
68,iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,236430,2 of 5 people (40%) found this review helpful,True,2
69,iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,399730,No ratings yet,True,2
70,MainScout,http://steamcommunity.com/id/MainScout,550,1 of 1 people (100%) found this review helpful,True,1
71,yookobz,http://steamcommunity.com/id/yookobz,377160,1 of 3 people (33%) found this review helpful,True,2
72,yookobz,http://steamcommunity.com/id/yookobz,219150,No ratings yet,True,2
73,Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,440,1 of 1 people (100%) found this review helpful,True,2
74,76561198087407319,http://steamcommunity.com/profiles/76561198087407319,440,1 of 1 people (100%) found this review helpful,True,1
75,76561198056741844,http://steamcommunity.com/profiles/76561198056741844,730,2 of 3 people (67%) found this review helpful,True,1
76,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,332800,194 of 282 people (69%) found this review helpful,True,1
77,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,319630,1 of 2 people (50%) found this review helpful,True,2
78,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,6020,No ratings yet,True,0
79,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,55230,No ratings yet,True,2
80,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,32430,No ratings yet,True,2
81,Coldaniel,http://steamcommunity.com/id/Coldaniel,35450,1 of 1 people (100%) found this review helpful,True,2
82,Coldaniel,http://steamcommunity.com/id/Coldaniel,440,1 of 1 people (100%) found this review helpful,True,2
83,Coldaniel,http://steamcommunity.com/id/Coldaniel,236390,2 of 5 people (40%) found this review helpful,True,2
84,therealmorty,http://steamcommunity.com/id/therealmorty,351570,No ratings yet,True,2
85,therealmorty,http://steamcommunity.com/id/therealmorty,212680,No ratings yet,True,0
86,Berserklejerker,http://steamcommunity.com/id/Berserklejerker,391540,2 of 3 people (67%) found this review helpful,True,2
87,76561198061730629,http://steamcommunity.com/profiles/76561198061730629,550,0 of 1 people (0%) found this review helpful,True,0
88,YoHuNz,http://steamcommunity.com/id/YoHuNz,440,1 of 1 people (100%) found this review helpful,True,1
89,YoHuNz,http://steamcommunity.com/id/YoHuNz,570,1 of 1 people (100%) found this review helpful,True,1
90,76561198093112529,http://steamcommunity.com/profiles/76561198093112529,440,3 of 3 people (100%) found this review helpful,True,2
91,76561198060447950,http://steamcommunity.com/profiles/76561198060447950,200510,No ratings yet,True,2
92,whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,730,2 of 2 people (100%) found this review helpful,True,2
93,76561198081962345,http://steamcommunity.com/profiles/76561198081962345,200210,No ratings yet,True,2
